AlCl3 	Aluminum trichloride 	1311.49 	1310.70 
AlF3 	Aluminum trifluoride 	1808.29 	1807.99 
BCl3 	Boron trichloride 	1352.15 	1359.87 
BF3 	Boron trifluoride 	1963.98 	1972.30 
BeH 	Beryllium monohydride 	212.50 	212.50 
CCl4 	Tetrachloromethane 	1312.24 	1318.96 
CF4 	Tetrafluoromethane 	2000.29 	2005.71 
CH 	Methylidyne radical 	350.91 	351.60 
CH2Cl2 	Dichloromethane 	1548.52 	1554.42 
CH2F2 	Difluoromethane 	1827.75 	1832.86 
CH2O2 	Formic acid 	2093.28 	2100.94 
CH2O 	Formaldehyde 	1561.51 	1567.43 
CH2 	Singlet carbene 	755.71 	757.45 
CH2 	Triplet carbene 	793.88 	797.23 
CH3Cl 	Chloromethane 	1650.66 	1656.17 
CH3 	Methyl radical 	1282.77 	1287.21 
CH3O 	Hydroxymethyl radical 	1709.38 	1715.47 
CH3O 	Methoxy radical 	1668.97 	1674.66 
CH3S 	Methylthio radical 	1595.13 	1601.03 
CH4 	Methane 	1752.56 	1757.82 
CH4O 	Methanol 	2141.49 	2147.84 
CH4S 	Thiomethanol 	1981.10 	1987.63 
CHCl3 	Trichloromethane 	1438.15 	1444.48 
CHF3 	Trifluoromethane 	1919.52 	1924.71 
CHO 	Formyl radical 	1164.33 	1169.59 
CN 	Cyano radical 	753.39 	758.56 
CNH 	Hydrogen cyanide 	1303.41 	1310.97 
CNH3O2 	Methyl nitrite 	2499.90 	2507.94 
CNH3O2 	Nitromethane 	2508.86 	2518.40 
CNH5 	Methylamine 	2427.06 	2434.89 
C2Cl4 	Tetrachloroethylene 	1963.63 	1976.57 
C2F4 	Tetrafluoroethylene 	2458.80 	2470.91 
C2H 	Ethynyl radical 	1103.15 	1112.08 
C2H2 	Acetylene 	1685.16 	1695.79 
C2H2O2 	Glyoxal 	2645.79 	2657.71 
C2H2O 	Ketene 	2220.04 	2232.05 
C2H3Cl 	Vinyl chloride 	2265.70 	2276.50 
C2H3 	Vinyl radical 	1855.58 	1864.92 
C2H3F 	Vinyl fluoride 	2389.99 	2400.61 
C2H3O 	Carbonyl methane 	2426.20 	2436.67 
C2H3OCl 	Acetyl chloride 	2787.13 	2798.87 
C2H3OF 	Acetyl fluoride 	2946.26 	2957.91 
C2H4 	Ethylene 	2348.65 	2358.75 
C2H4O2 	Acetic acid 	3350.83 	3363.76 
C2H4O2 	Methyl formate 	3280.39 	3292.61 
C2H4O 	Acetaldehyde 	2824.22 	2835.43 
C2H4O 	Oxirane 	2714.69 	2725.51 
C2H4S 	Thiirane 	2609.09 	2620.57 
C2H5Cl 	Ethyl chloride 	2887.09 	2897.60 
C2H5 	Ethyl radical 	2516.37 	2526.01 
C2H5O 	Ethoxy radical 	2908.38 	2919.13 
C2H6 	Ethane 	2971.49 	2981.64 
C2H6O 	Dimethyl ether 	3330.63 	3341.56 
C2H6O 	Ethanol 	3381.59 	3392.98 
C2H6OS 	Dimethyl sulfoxide 	3574.86 	3587.65 
C2H6S 	Dimethyl sulfide 	3206.19 	3217.58 
C2H6S 	Thioethanol 	3210.77 	3222.30 
C2N2 	Cyanogen 	2084.80 	2100.20 
C2NF3 	Trifluoroacetonitril 	2675.64 	2688.27 
C2NH3 	Acetonitrile 	2565.94 	2578.87 
C2NH5 	Aziridine 	3000.47 	3012.94 
C2NH5O 	Acetamide 	3618.80 	3633.73 
C2NH7 	Dimethylamine 	3627.84 	3640.55 
C2NH7 	Ethylamine 	3662.09 	3674.87 
C3H4 	Allene 	2928.72 	2944.45 
C3H4 	Cyclopropene 	2836.78 	2852.25 
C3H4 	Propyne 	2934.48 	2950.50 
C3H6 	Cyclopropane 	3555.66 	3571.30 
C3H6O 	Acetone 	4080.98 	4097.39 
C3H6 	Propene 	3587.40 	3602.67 
C3H7Cl 	1-Chloropropane 	4115.27 	4130.72 
C3H7 	Isopropyl radical 	3755.06 	3769.88 
C3H8O 	Methoxyethane 	4571.15 	4587.12 
C3H8O 	Isopropyl alcohol 	4624.64 	4641.05 
C3H8 	Propane 	4199.18 	4214.27 
C3NH3 	Acrylonitrile 	3173.61 	3191.46 
C3NH9 	Trimethylamine 	4840.35 	4857.95 
C4H10 	Isobutane 	5433.13 	5453.18 
C4H10 	n-Butane 	5427.17 	5447.22 
C4H4O 	Furan 	4142.37 	4164.49 
C4H4S 	Thiophene 	4016.15 	4038.49 
C4H6 	1,3-Butadiene 	4217.43 	4237.73 
C4H6 	2-Butyne 	4179.82 	4201.18 
C4H6 	Bicyclo[1.1.0]butane 	4105.06 	4125.62 
C4H6 	Cyclobutene 	4170.00 	4189.71 
C4H6 	Methylenecyclopropane 	4133.88 	4154.81 
C4H8 	Cyclobutane 	4791.64 	4811.19 
C4H8 	Isobutene 	4829.32 	4849.73 
C4H9 	tert-Butyl radical 	4996.68 	5016.63 
C4NH5 	Pyrrole 	4464.55 	4488.94 
C5H8 	Spiropentane 	5350.47 	5376.77 
C5NH5 	Pyridine 	5155.83 	5183.94 
C6H6 	Benzene 	5696.88 	5727.81 
Cl2 	Dichlorine 	247.16 	248.22 
CO 	Carbon monoxide 	1083.14 	1087.57 
CO2 	Carbon dioxide 	1625.87 	1633.95 
COF2 	Carbonyl fluoride 	1755.19 	1762.10 
COS 	Carbonyl sulfide 	1398.66 	1406.74 
CS 	Carbon monosulfide 	715.40 	719.47 
CS2 	Carbon disulfide 	1165.93 	1174.07 
FCl 	Chlorine monofluoride 	261.80 	262.43 
F2 	Difluorine 	162.15 	162.31 
F3Cl 	Chlorine trifluoride 	537.00 	537.44 
HCl 	Hydrogen chloride 	448.52 	449.58 
HF 	Hydrogen fluoride 	592.09 	593.02 
HOCl 	Hypochlorous acid 	693.67 	695.38 
HO 	Hydroxyl radical 	447.50 	448.30 
HS 	Mercapto radical 	365.64 	366.55 
H2 	Dihydrogen 	457.73 	457.73 
H2O2 	Hydrogen peroxide 	1124.05 	1126.34 
H2O 	Water 	973.05 	974.94 
H2S 	Hydrogen sulfide 	766.92 	768.72 
LiF 	Lithium fluoride 	583.12 	583.99 
LiH 	Lithium hydride 	242.27 	242.27 
Li2 	Dilithium 	101.24 	101.24 
Na2 	Disodium 	71.55 	71.78 
NaCl 	Sodium chloride 	411.98 	412.96 
NF3 	Trifluoroamine 	862.79 	863.68 
NH2 	Amino radical 	761.30 	762.95 
NH3 	Ammonia 	1242.94 	1245.99 
NH 	Imidogen 	346.38 	347.02 
NO2 	Nitrogen dioxide 	950.01 	954.10 
NOCl 	Nitrosyl chloride 	801.10 	803.43 
NO 	Nitric oxide 	636.75 	639.28 
N2 	Dinitrogen 	951.59 	955.82 
N2H4 	Hydrazine 	1827.15 	1832.69 
N2O 	Nitrous oxide 	1127.48 	1133.70 
OCl 	Monochlorine monoxide 	270.00 	271.20 
OF2 	Difluorine monoxide 	392.34 	392.68 
OS 	Sulfur monoxide 	526.33 	528.72 
O2 	Dioxygen 	504.36 	505.88 
O2S 	Sulfur dioxide 	1086.86 	1091.61 
O3 	Ozone 	614.29 	615.78 
P2 	Diphosphorus 	485.14 	489.29 
PF3 	Phosphorus trifluoride 	1527.81 	1530.92 
PH2 	Phosphino radical 	644.21 	645.47 
PH3 	Phosphane 	1010.33 	1012.24 
S2 	Disulfur 	431.42 	433.94 
SiCH6 	Methylsilane 	2626.11 	2631.54 
